priority,enabled,call_line,call_line_code,display_name,rakutel_line_name,aliases,line_group,notes
10,1,家電保証対応業務（24時間）,home_appliance,家電,家電,家電保証対応業務（24時間）;家電保証対応業務;家電業務,家電,旧表記から変更
10,1,住設業務,housing,住設,住設,住設業務,住設,旧表記から変更
10,1,福屋工務店(YS)受付業務,fukuya_ys,福屋工務店,福屋工務店,福屋工務店(YS)受付業務,住設,旧表記から変更
10,1,三井デザイン受付業務,mitsui_design,三井デザイン,三井デザイン,三井デザイン受付業務,住設,旧表記から変更
10,1,なかやしき,nakayashiki,なかやしき,なかやしき,なかやしき,住設,
10,1,マッハのユカコ,mach_yukako,マッハユカコ,マッハユカコ,マッハのユカコ;マッハ・YUCACO;YUCACO,住設,誤表記を表示名で補正
10,1,駆けつけサブスク,kaketsuke_subscription,駆けつけサブスク,駆けつけサブスク,駆けつけサブスク,その他,
10,1,トライアルカンパニー,trial_company,トライアルカンパニー,トライアルカンパニー,トライアルカンパニー,家電,
10,1,ビックカメラ,bic_camera,ビックカメラ,ビックカメラ,ビックカメラ,家電,
10,1,ソフマップ,sofmap,ソフマップ,ソフマップ,ソフマップ,家電,
10,1,京阪不動産,keihan_real_estate,京阪不動産,京阪不動産,京阪不動産,住設,
10,1,京阪不動産（浦添）,keihan_real_estate_urasoe,京阪不動産（浦添）,京阪不動産（浦添）,京阪不動産（浦添）,住設,
10,1,京阪夜間・休日,keihan_otsu,京阪電鉄不動産 夜間・休日窓口,京阪（夜間）,京阪夜間・休日,住設,夜間・休日窓口（旧表記「京阪大津」から実態名へ変更）
10,1,コーナン商事（家電）,kohnan_appliance,コーナン（家電）,コーナン（家電）,コーナン商事（家電）,家電,旧表記から変更
10,1,コーナン商事（住設）,kohnan_housing,コーナン（住設）,コーナン（住設）,コーナン商事（住設）,住設,旧表記から変更
10,1,ヤマダホームズ修理受付業務,yamada_homes_repair,ヤマダホームズ,ヤマダホームズ,ヤマダホームズ修理受付業務,住設,旧表記から変更
