priority,enabled,product_keyword,manufacturer_keyword,manufacturer_group,condition_keyword,repair_type,cost_estimate,can_announce_cost,needs_escalation,required_fields,cost_status,guidance_scope,required_questions,customer_notice,internal_note,notes
4,1,エアコン,ダイキン,,ガス漏れ,出張修理,"30,000円前後",可,0,,confirmed,eu_asked_only,,EUから質問があった場合のみ案内,ガス漏れ検査費用。EU質問時のみ案内。,ガス漏れ検査
5,1,エアコン,ダイキン,,業務用,出張修理,"15,000円～22,000円前後",可,0,,confirmed,always,,,業務用エアコン専用,業務用エアコン
10,1,エアコン,ダイキン,,家庭用,出張修理,"7,000円～16,000円前後",可,0,,confirmed,always,,,家庭用エアコン専用,家庭用エアコン
15,1,エアコン,ダイキン,,,出張修理,未確定,不可,0,extra_condition,pending,always,家庭用/業務用を確認してください,確認後にご案内します,ダイキンエアコンは家庭用と業務用で金額が異なります,ダイキン家庭用・業務用未確認
18,1,エアコン,アイリスオーヤマ,,,出張修理,"15,000円前後",可,0,,confirmed,always,,,,アイリスオーヤマエアコン
20,1,エアコン,,国内エアコンメーカー,,出張修理,"5,000円～7,000円前後",可,0,,confirmed,always,,,,その他国内エアコンメーカー
25,1,エアコン,,,,出張修理,未確定,不可,0,manufacturer,pending,always,メーカーを確認してください,確認後にご案内します,メーカー未確認時は金額非表示,エアコンメーカー未確認
26,1,エアコン,,,,出張修理,未確定,不可,0,,pending,always,国内メーカーか海外メーカーか確認してください,確認後にご案内します,マスタ外・海外メーカーは金額確定表示しない,エアコンメーカー要確認
30,1,エコキュート,ダイキン,,,出張修理,"15,000円～20,000円前後",可,0,,confirmed,always,,,設置状況・診断内容により異なる,ダイキンエコキュート
31,1,エコキュート,,国内給湯器メーカー,,出張修理,"8,000円～10,000円前後",可,0,,confirmed,always,,,設置状況・診断内容により異なる,その他国内メーカーエコキュート
32,1,ガス給湯器,,,,出張修理,"5,000円～7,000円前後",可,0,,confirmed,always,,,設置状況・診断内容により異なる,ガス給湯器
33,1,石油給湯器,,,,出張修理,"5,000円～7,000円前後",可,0,,confirmed,always,,,設置状況・診断内容により異なる,石油給湯器
34,1,ハイブリッド給湯器,,,,出張修理,"8,000円～10,000円前後",可,0,,confirmed,always,,,設置状況・診断内容により異なる,ハイブリッド給湯器
35,1,エネファーム,,,,出張修理,"5,000円～7,000円前後",可,0,,confirmed,always,ガス会社を必ず確認してください,,ガス会社を通して各メーカーへ手配,エネファーム
36,1,電気温水器,,,,出張修理,"8,000円～10,000円前後",可,0,,confirmed,always,,,設置状況・診断内容により異なる,電気温水器
37,1,電気暖房温水ボイラー,,,,出張修理,"8,000円～10,000円前後",可,0,,confirmed,always,,,設置状況・診断内容により異なる,電気暖房温水ボイラー
38,1,エコキュート,,,,出張修理,未確定,不可,0,manufacturer,pending,always,メーカーを確認してください,確認後にご案内します,メーカー未確認またはマスタ外メーカーは金額確定表示しない,エコキュートメーカー要確認
39,1,給湯器,,,,出張修理,未確定,不可,0,,pending,always,ガス給湯器・石油給湯器・ハイブリッド給湯器の別を確認してください,確認後にご案内します,給湯器のみでは概算確定表示しない,給湯器種別未確認
40,1,デジカメ,,,,持込修理,"2,000円前後",可,0,,confirmed,always,,,,デジカメ
41,1,一眼レフカメラ,,,,持込修理,"2,000円前後",可,0,,confirmed,always,,,,一眼レフカメラ
42,1,ビデオカメラ,,,,持込修理,"2,000円前後",可,0,,confirmed,always,,,,ビデオカメラ
43,1,電子ピアノ脚なし,ローランド,,,持込修理,"6,000円～15,000円前後",可,0,,confirmed,always,,,,ローランド電子ピアノ脚なし
44,1,ピアノ脚なし,ローランド,,,持込修理,"6,000円～15,000円前後",可,0,,confirmed,always,,,,ローランドピアノ脚なし
45,1,Airdog,,,,持込修理,"7,000円～10,000円前後",可,0,,confirmed,always,,,検証・返送料含めた概算。サイズが大きいため送料が高くなる見積。あくまで概算,Airdog
46,1,パワーウエーブ,FITプロジェクト,,,持込修理,"4,000円～5,000円前後",可,0,,confirmed,always,,,0800-919-0757 の平日持込製品のため対応注意。対応は持込修理と同じ。リモコン等の付属品は対象外。メーカー保証期間中は販売店へ連絡,FITプロジェクト パワーウエーブ
47,1,パワーウエーブ,TKクリエイト,,,持込修理,"4,000円～5,000円前後",可,0,,confirmed,always,,,0800-919-0757 の平日持込製品のため対応注意。対応は持込修理と同じ。リモコン等の付属品は対象外。メーカー保証期間中は販売店へ連絡,TKクリエイト パワーウエーブ
48,1,AV製品,パイオニア,,,持込修理,"16,000円前後",可,1,,confirmed,always,,,パイオニアは2014年9月16日にAV事業から撤退。委託先で修理対応。概算費用に不承の場合はエスカ,パイオニアAV製品
10,1,掃除機,ダイソン,,,持込修理,"10,000円前後",可,0,,confirmed,always,,,,
10,1,掃除機,Dyson,,,持込修理,"10,000円前後",可,0,,confirmed,always,,,,Dyson英語表記ゆれ
10,1,カーナビ,パナソニック,,,持込修理,"2,000円前後",可,0,,confirmed,always,,,,ストラーダ等
10,1,,アイリスオーヤマ,,,出張修理,"15,000円前後",可,0,,confirmed,always,,,,アイリスオーヤマ出張修理製品全般
10,1,洗濯機,エレクトロラックス,,,出張修理,"45,000円前後",可,1,,escalation,always,,費用高額のため概算は参考値です,費用高額・概算案内注意,費用高額・概算案内注意
10,1,レンジフード,エレクトロラックス,,,出張修理,"45,000円前後",可,1,,escalation,always,,,,費用高額・概算案内注意
10,1,食器洗い乾燥機,エレクトロラックス,,,出張修理,"45,000円前後",可,1,,escalation,always,,,,費用高額・概算案内注意
10,1,IH,エレクトロラックス,,,出張修理,"25,000円～30,000円前後",可,1,,escalation,always,,,,
20,1,パソコン,,国内PC,,持込修理,"2,000円～9,000円",可,0,,confirmed,always,,,,国内メーカーPC
30,1,パソコン,,,,持込修理,"12,000円前後",可,0,manufacturer,confirmed,always,国内・海外メーカーをご確認ください,確認後にご案内します,メーカー未確認時は金額非表示,海外メーカーPC(catch-all)
90,1,,,,,出張修理,"5,000円～7,000円前後",可,0,,confirmed,always,,,,汎用出張修理
90,1,,,,,持込修理,"2,000円～5,000円前後",可,0,,confirmed,always,,,,汎用持込修理
