priority,enabled,rule_name,store_keywords,case_keywords,appliance_type,call_type_inquiry,call_type_repair,rakutel_status,handover_request_content,notes,exclude_wrong_number,active
1,1,回答確認のため折返し案内,,回答確認;折返し案内;折り返し案内,,1,1,【BKK】WRS（福岡）へ対応依頼,架電依頼,,0,1
2,1,クレーム案件,,クレーム;苦情,,1,1,【BKK】WRS（福岡）へ対応依頼,対応依頼,,0,1
3,1,一次受け等での折返し案内,,一次受け;一次受付;折返し;折り返し,,1,1,【BKK】WRS（福岡）へ対応依頼,架電依頼,,0,1
4,1,MOVI引き継ぎ案件,,MOVI;MOVI引き継ぎ,,1,1,【BKK】WRS（福岡）へ対応依頼,対応依頼,,0,1
5,1,依頼前_修理キャンセル,,依頼前_修理キャンセル;依頼前キャンセル,,0,1,依頼前キャンセル,キャンセル,,0,1
6,1,依頼後_修理キャンセル,,依頼後_修理キャンセル;依頼後キャンセル,,0,1,依頼後キャンセル,キャンセル,,0,1
7,1,郵送修理受付票,,郵送修理受付票;修理受付票送付;郵送,,1,1,修理受付表送付依頼（WTS福岡へ）,郵送依頼,WRSよりメールにて修理依頼書送付の為,0,1
8,1,保証書再送希望（家電製品）,,保証書再送,家電,1,0,【BKK】WRS（福岡）へ対応依頼,メール対応依頼,,0,1
9,1,保証書再送希望（住宅設備）,,保証書再送,住設,1,0,【BKK】WRS（福岡）へ対応依頼,対応依頼,メール送信不可,0,1
10,1,WCS登録相違等の対応依頼,,WCS登録相違;登録相違,,1,1,【BKK】WRS（福岡）へ対応依頼,WCS処理依頼,,0,1
11,1,WCSシステムの商品価格の誤登録,,商品価格の誤登録;価格誤登録,,1,1,【BKK】WRS（福岡）へ対応依頼,WCS処理依頼,,0,1
12,1,WCS修理業者追加依頼,,修理業者追加;業者追加依頼,,1,1,【BKK】WRS（福岡）へ対応依頼,WCS処理依頼,,0,1
13,1,WRSよりChatで引き継ぎ,,WRSよりChat;Chatで引き継ぎ;チャット引き継ぎ,,1,1,【BKK】WRS（福岡）へ対応依頼,対応依頼,,0,1
14,1,CER依頼,,CER;CER依頼,,1,1,【BKK】WRS（福岡）へ対応依頼,対応依頼,,0,1
15,1,有償時販売店連絡や販売店請求,,有償時販売店連絡;販売店請求;有償販売店,,1,1,【BKK】WRS（福岡）へ対応依頼,対応依頼,,0,1
16,1,訪問日確定時・修理完了時販売店連絡,,訪問日確定;修理完了時販売店連絡;販売店連絡,,1,1,【BKK】WRS（福岡）へ対応依頼,対応依頼,,0,1
17,1,京阪,京阪,,,1,1,【BKK】WRS（福岡）へ対応依頼,受付報告,ALSOK入力有無まで引き継ぎ,0,1
18,1,ヤマダホームズ,ヤマダホームズ,,,1,1,【BKK】WRS（福岡）へ対応依頼,受付報告,間違い電話は不要,1,1
19,1,ライフデザインカバヤ,ライフデザインカバヤ;カバヤ,,,1,1,【BKK】WRS（福岡）へ対応依頼,受付報告,間違い電話は不要,1,1
20,1,アイ工務店,アイ工務店;株式会社アイ工務店,,,1,1,【BKK】WRS（福岡）へ対応依頼,受付報告,間違い電話は不要,1,1
21,1,SKY,SKY,,,1,1,【BKK】WRS（福岡）へ対応依頼,受付報告,,0,1
22,1,電算システム案件,電算システム,,住設,1,1,【BKK】WRS（福岡）へ対応依頼,受付報告,,0,1
23,1,住設駆けつけ,住設駆けつけ;駆けつけ,,住設,1,1,【BKK】WRS（福岡）へ対応依頼,受付報告,,0,1
24,1,ニッテイライフ,ニッテイライフ,,,1,1,【BKK】WRS（福岡）へ対応依頼,受付報告,,0,1
25,1,トレス,トレス,,,1,1,【BKK】WRS（福岡）へ対応依頼,受付報告,,0,1
26,1,MED Communications,MED Communications;MEDコミュニケーションズ,,,1,1,【BKK】WRS（福岡）へ対応依頼,受付報告,,0,1
27,1,キューハウ / Comfo home,キューハウ;Comfo home;Comfohome,,,1,1,【BKK】WRS（福岡）へ対応依頼,受付報告,Comfo home及びメーカー／Boschの修理受付時,0,1
28,1,クリーンリバー,クリーンリバー,,,1,1,【BKK】WRS（福岡）へ対応依頼,受付報告,,0,1
29,1,ケィ・マックインダストリー,ケィ・マックインダストリー;ケィマックインダストリー;ケイマックインダストリー,,,1,1,【BKK】WRS（福岡）へ対応依頼,受付報告,,0,1
30,1,株式会社三建,株式会社三建;三建,,,1,1,【BKK】WRS（福岡）へ対応依頼,受付報告,,0,1
31,1,住宅資材センター,住宅資材センター,,,1,1,【BKK】WRS（福岡）へ対応依頼,受付報告,,0,1
32,1,大成有楽,大成有楽,,,1,1,【BKK】WRS（福岡）へ対応依頼,受付報告,,0,1
33,1,FUTAEDA,FUTAEDA;フタエダ,,,1,1,【BKK】WRS（福岡）へ対応依頼,受付報告,,0,1
34,1,木場家電住宅設備,木場家電住宅設備;木場家電,,,1,1,【BKK】WRS（福岡）へ対応依頼,受付報告,,0,1
35,1,ぽちる,ぽちる,,,1,1,【BKK】WRS（福岡）へ対応依頼,受付報告,,0,1
36,1,三城案件（メガネ）,三城;メガネ,,,1,1,【BKK】WRS（福岡）へ対応依頼,受付報告,,0,1
37,1,住設（賃貸・中古）,住設（賃貸・中古）;賃貸;中古,,住設,1,1,【BKK】WRS（福岡）へ対応依頼,受付報告,【日新】依頼については引き継ぎ,0,1
38,1,オンレイ,オンレイ,,,1,1,【BKK】WRS（福岡）へ対応依頼,受付報告,,0,1
39,1,フュディアル,フュディアル,,,1,1,【BKK】WRS（福岡）へ対応依頼,受付報告,,0,1
40,1,コジマ（CHIKYUJIN）,コジマ;CHIKYUJIN;地球人,,,1,1,【BKK】WRS（福岡）へ対応依頼,受付報告,,0,1
41,1,チャオ,チャオ,,,1,1,【BKK】WRS（福岡）へ対応依頼,受付報告,,0,1
42,1,三井デザインテック,三井デザインテック,,,1,1,【BKK】WRS（福岡）へ対応依頼,受付報告,,0,1
43,1,福屋工務店,福屋工務店,,,1,1,【BKK】WRS（福岡）へ対応依頼,受付報告,,0,1
44,1,株式会社ミツウロコヴェッセル,株式会社ミツウロコヴェッセル;ミツウロコヴェッセル,,,1,1,【BKK】WRS（福岡）へ対応依頼,受付報告,,0,1
45,1,相鉄不動産,相鉄不動産,,,1,1,【BKK】WRS（福岡）へ対応依頼,受付報告,,0,1
46,1,WM案件（M停止）,WM案件;M停止,,,1,1,【BKK】WRS（福岡）へ対応依頼,受付報告,,0,1
47,1,マッハシステム・YUCACOシステム,マッハシステム;YUCACOシステム;YUCACO,,,1,1,【BKK】WRS（福岡）へ対応依頼,受付報告,間違い電話は不要,1,1
48,1,コーナン住設,コーナン住設;コーナン,,住設,1,1,【BKK】WRS（福岡）へ対応依頼,受付報告,,0,1
