priority,enabled,template_code,category,label,data_erase_required,cost_guidance_allowed,notes
10,1,0044,住設業務,【中古・既築】,不要,可,住設回線入電
10,1,0001,家電保証対応業務（24時間）,【持込修理】自然故障,条件付き,可,PCカーナビ等はデータ消去同意記載要
10,1,0002,家電保証対応業務（24時間）,【持込修理】ダブルプロテクト,条件付き,可,同上
10,1,0005,家電保証対応業務（24時間）,【持込修理】中古修理（ReReヤフオク!店専用）,条件付き,可,同上
10,1,0006,ビックカメラ,【持込修理】ビックカメラorソフマップ,条件付き,不可,EU送付用はビックカメラグループ法人受付票を出力
10,1,0055,ビックカメラ,【持込修理】ビックカメラ or ソフマップ案件（ダブルプロテクト）,条件付き,不可,
10,1,0070,ビックカメラ,【引取修理】ビックカメラorソフマップ（ダブルプロテクト）,不要,不可,
10,1,0071,ビックカメラ,【引取修理】ビックカメラorソフマップ 自然故障,不要,不可,
10,1,0007,家電保証対応業務（24時間）,【持込修理】アイマックス ホールディングス,条件付き,可,送付先：アンデス電気八戸工場 馬渡様
10,1,0040,家電保証対応業務（24時間）,【持込修理】フクイカメラ(自然故障),条件付き,可,データ消去同意記載要
10,1,0041,家電保証対応業務（24時間）,【持込修理】フクイカメラ(ダブルプロテクト),条件付き,可,データ消去同意記載要
10,1,0079,家電保証対応業務（24時間）,【持込修理】アストロラボ／アップル製品のみ,不要,可,
10,1,0009,家電保証対応業務（24時間）,【出張修理】自然故障,不要,可,有償時販売店連絡要の場合は故障状況欄へ記載
10,1,0010,家電保証対応業務（24時間）,【出張修理】ダブルプロテクト,不要,可,同上
10,1,0011,家電保証対応業務（24時間）,【出張修理】再調達0円表示,不要,可,WCS内商品価格が0円表示で保証書内に再調達価格記載あり
10,1,0012,京阪不動産,【出張修理】京阪ロングレールサポートプラス案件,不要,可,
10,1,0054,家電保証対応業務（24時間）,【出張修理】正直屋,不要,可,
10,1,0013,ヤマダホームズ修理受付業務,【出張修理】ヤマダホームズ,不要,可,販売価格記載有無に関わらず再調達価格
10,1,0086,ビックカメラ,【出張修理】ビックカメラorソフマップ（ダブルプロテクト）,不要,不可,
10,1,0014,ビックカメラ,【出張修理】ビックカメラorソフマップ,不要,不可,
10,1,0080,ビックカメラ,【出張修理】ビックカメラ官舎向け案件（ダブルプロテクト）,不要,不可,テレビはデータ消去同意記載要
10,1,0015,家電保証対応業務（24時間）,【出張修理】中古修理（ReReヤフオク!店専用）,不要,可,
10,1,0069,家電保証対応業務（24時間）,【出張修理】東横建設,不要,可,
