priority,enabled,call_line,prefecture,area_group,manufacturer_keyword,product_keyword,store_keyword,repair_type,is_over_10years,vendor_name,reason,needs_escalation,notes,contact_type
10,1,ビックカメラ,,,,,,出張修理,,ソフマップ修理センター,ビックカメラ回線,0,,
10,1,ソフマップ,,,,,,出張修理,,ソフマップ修理センター,ソフマップ回線,0,,
20,1,,沖縄県,,,,,出張修理,,宗建リノベーション,沖縄,0,,
30,1,,,九州,,,,出張修理,,CER候補（担当確認）,九州エリア,1,,
40,1,,,,,ヤマダホールディングス,,出張修理,,㈱ヤマダデンキ,ヤマダオリジナル,0,,
45,1,,,,,,ライフデザイン・カバヤ,出張修理,,ユナイトサービス㈱,ライフデザイン・カバヤ通常出張,0,通常の住設新築・保証対象機器はユナイトへ依頼,
50,1,,滋賀県,,,洗濯機,,出張修理,,ユナイトサービス㈱,滋賀×洗濯機,0,,
60,1,,東京都,,,洗濯機,,出張修理,,WRT修理センター,東京×洗濯機,0,,
60,1,,神奈川県,,,洗濯機,,出張修理,,WRT修理センター,神奈川×洗濯機,0,,
100,1,住設業務,東京都,,,,,,0,ユナイトサービス㈱,賃貸東日本10年未満,0,,
100,1,住設業務,神奈川県,,,,,,0,ユナイトサービス㈱,賃貸東日本10年未満,0,,
100,1,住設業務,埼玉県,,,,,,0,ユナイトサービス㈱,賃貸東日本10年未満,0,,
100,1,住設業務,千葉県,,,,,,0,ユナイトサービス㈱,賃貸東日本10年未満,0,,
110,1,住設業務,東京都,,,,,,1,㈱リファテック,賃貸東京圏10年以上,0,,
110,1,住設業務,神奈川県,,,,,,1,㈱リファテック,賃貸東京圏10年以上,0,,
110,1,住設業務,埼玉県,,,,,,1,㈱リファテック,賃貸東京圏10年以上,0,,
110,1,住設業務,千葉県,,,,,,1,㈱リファテック,賃貸東京圏10年以上,0,,
120,1,住設業務,大阪府,,,,,,0,ユナイトサービス㈱,賃貸大阪10年未満,0,,
120,1,住設業務,兵庫県,,,,,,0,ユナイトサービス㈱,賃貸大阪10年未満,0,,
130,1,住設業務,大阪府,,,,,,1,株式会社日新,賃貸大阪10年以上,0,,
130,1,住設業務,兵庫県,,,,,,1,株式会社日新,賃貸大阪10年以上,0,,
140,1,住設業務,,九州,,,,,0,ユナイトサービス㈱,賃貸九州10年未満,0,,
150,1,住設業務,,九州,,,,,1,ハートリビングサポート株式会社,賃貸九州10年以上,0,,
160,1,住設業務,沖縄県,,,,,,0,ユナイトサービス㈱,賃貸沖縄10年未満,0,,
