priority,enabled,rule_name,match_line,match_store_keywords,match_company_keywords,match_plan_keywords,match_case_keywords,match_appliance_type,match_repair_type,action_type,handover_request_content,basis_text,note_template,requires_manual_confirm
10,1,京阪,京阪;京阪不動産;京阪夜間・休日,京阪,京阪,,,,,受付報告,【BKK】WRS（福岡）へ対応依頼,根拠：京阪系の回線/販売店/運営会社に一致,ALSOK入力有無まで引き継ぎ,1
20,1,ヤマダホームズ,ヤマダホームズ,ヤマダホームズ,ヤマダホームズ,,,,,受付報告,【BKK】WRS（福岡）へ対応依頼,根拠：ヤマダホームズ案件に一致,間違い電話は不要,1
30,1,ライフデザインカバヤ,ライフデザインカバヤ;カバヤ,ライフデザインカバヤ;カバヤ,ライフデザインカバヤ;カバヤ,,,,,受付報告,【BKK】WRS（福岡）へ対応依頼,根拠：ライフデザインカバヤ案件に一致,間違い電話は不要,1
40,1,福屋工務店,福屋工務店,福屋工務店,福屋工務店,,,,,受付報告,【BKK】WRS（福岡）へ対応依頼,根拠：福屋工務店案件に一致,,1
50,1,三井デザインテック,三井デザインテック;三井デザイン,三井デザインテック;三井デザイン,三井デザインテック;三井デザイン,,,,,受付報告,【BKK】WRS（福岡）へ対応依頼,根拠：三井デザインテック案件に一致,,1
60,1,マッハシステム・YUCACOシステム,マッハ;YUCACO;ユカコ,マッハ;YUCACO;ユカコ,マッハ;YUCACO;ユカコ,,,,,受付報告,【BKK】WRS（福岡）へ対応依頼,根拠：マッハシステム/YUCACO案件に一致,間違い電話は不要,1
70,1,住設駆けつけ,駆けつけ;24h;24時間;365days,,,"駆けつけ;24h;24時間;365days",,住設,,受付報告,【BKK】WRS（福岡）へ対応依頼,根拠：住設駆けつけ条件に一致,,1
80,1,コーナン住設,コーナン住設,コーナン;ビーバートザン;Beavertozan;BEAVERTOZAN,コーナン;ビーバートザン;Beavertozan;BEAVERTOZAN,,,住設,,受付報告,【BKK】WRS（福岡）へ対応依頼,根拠：コーナン住設案件に一致,,1
90,1,アイ工務店,アイ工務店,アイ工務店,アイ工務店,,,,,受付報告,【BKK】WRS（福岡）へ対応依頼,根拠：アイ工務店案件に一致,間違い電話は不要,1
100,1,ニッテイライフ,ニッテイライフ,ニッテイライフ,ニッテイライフ,,,,,受付報告,【BKK】WRS（福岡）へ対応依頼,根拠：ニッテイライフ案件に一致,,1
